customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00001,Male,0,Yes,No,37,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,67.82,2526.65,No
C00002,Female,0,No,Yes,61,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,47.6,2903.93,No
C00003,Male,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,79.28,2678.36,Yes
C00004,Male,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,18.0,1226.61,No
C00005,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card,64.49,1116.51,Yes
C00006,Female,0,No,No,20,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,51.69,1053.82,No
C00007,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card,55.1,3270.77,Yes
C00008,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,72.43,5010.5,Yes
C00009,Male,0,No,No,33,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,48.0,1612.34,Yes
C00010,Female,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card,61.87,1093.97,No
C00011,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,19.46,1052.93,Yes
C00012,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,59.75,-10.5,Yes
C00013,Male,1,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,76.53,1046.43,Yes
C00014,Male,0,No,No,27,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card,55.35,1454.22,No
C00015,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,69.12,4805.81,No
C00016,Male,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,65.51,3856.46,Yes
C00017,Female,0,No,Yes,6,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,57.53,295.56,Yes
C00018,Female,1,No,No,23,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer,54.45,1240.9,No
C00019,Female,0,No,No,10,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,49.16,463.16,Yes
C00020,Male,1,Yes,Yes,51,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,48.91,2487.41,No
C00021,Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,69.6,1330.8,Yes
C00022,Male,1,Yes,No,51,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,56.63,2877.82,No
C00023,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,68.54,4648.9,Yes
C00024,Female,0,Yes,Yes,42,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,58.57,2467.68,No
C00025,Female,0,No,Yes,57,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card,64.16,3688.45,No
C00026,Female,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,64.8,4454.49,Yes
C00027,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card,67.48,2557.68,No
C00028,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,1170.75,No
C00029,Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,64.67,478.99,Yes
C00030,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,63.66,4482.9,Yes
C00031,Male,0,Yes,No,50,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,44.82,2203.16,No
C00032,Male,0,No,No,52,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,73.69,3814.56,Yes
C00033,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,60.58,1618.42,No
C00034,Female,0,Yes,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,452.96,No
C00035,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,20.6,334.63,No
C00036,Male,0,Yes,Yes,9,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,41.96,370.77,No
C00037,Female,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,61.08,3666.46,Yes
C00038,Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,75.82,1484.75,Yes
C00039,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,73.91,3677.89,Yes
C00040,Male,0,Yes,No,22,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,49.89,1102.07,Yes
C00041,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,70.72,950.08,No
C00042,Male,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,18.0,236.82,Yes
C00043,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card,62.44,589.02,Yes
